No	Japanese	Translation	Note
1083	割り当て内の残りのプロジェクト数は 12 projects 件です。プロジェクトの増加をリクエストするか、プロジェクトを削除してください。		
1084	無料トライアルを試してみませんか。有効にしていただくと、$300 分のクレジットを獲得して Google Cloud サービスをお試しいただけます。		
1085	本番環境とは、システム開発に関する用語で、システムが製品として実際に稼動している環境のことである。単に「本番」と呼ばれることもある。		＝プロダクション
1086	一言ご挨拶申し上げます。		
1087	それでは喜んで／遠慮なく頂戴します。		
1088	お出掛けですか？ ええ、ちょっとそこまで。	Going out? Yes, I'm just stepping out for a minute	
1089	凌ぎやすくなりましたね。		
1090	こちら、空いていますか？		
1091	お手伝いできることがありましたら、何でもおしゃってください。		
1092	ベストを尽くして頑張るつもりでおります。		
1093	他ならぬあなたのお頼みですから。		
1094	及ばずながら、尽力させていただきます。		
1095	どこまでご希望に添えるかわかりませんが、できる限り務めさせていただきます。		
1096	そういったご依頼は一切お受けしないことにしておりますので、悪しからずご了承ください。		
1097	私には荷が重すぎて・・・。		
1098	力不足でとても要望にお応えできそうにもありません。		
1099	この話はなかったことにしてください。	Let's just forget that this subject ever come up	
1100	おろしてもらいます。	Deal me out.	
1101	善は急げというじゃないか？	As the saying goes, there's no time like the present	
1102	例の件、考えていただきましたか？	About that thing we talked about, have you thought it over?	
1103	例の件、どうなりましたか？	Same^	
1104	いつまで待たせれば気が済むのよ？		
1105	もうあなたになんか頼まないわ。		
1106	何か違うじゃない？	Something's not quite right	
1107	それは間違っている。		
1108	この色とこの色を組み合わせるのはどう？ うーん、なんか違うな。		Something is off./ It doesn't feel right. 
1109	足を引っ張るのはやめてください。		
1110	このアパート、壁が薄いので、うちのテレビの音がお邪魔になっているじゃないかと、前々から気にしておりましたのよ。		
1111	身に覚えのないことだ。	I did no such thing.	
1112	「とやかく言われる筋合いは無い」＝「私に義務や義理もない人から色々と忠告されたり指図されても聞く必要はないので聞く気もない」という意味になります。		
1113	開いた口が塞がらない	I'm speechless! (criticizing)	
1114	お里が知れますよ。	It shows a lack of breeding.	Ở nhà không biết dạy/Đứa vô học.
1115	お上手ね。		
1116	またそんな、お上手ばかりおしゃって。		
1117	ご親切に、助かりました。	You've been a great help. It was very kind of you.	
1118	前から見たいと思っていたんだ。	I've been wanting to see this for a long time.	
1119	いかなる償いも致すつもりでございます。		
1120	私が至らないばかりにご迷惑をお掛けしましたことを、心からお詫び申し上げます。		
1121	今回の件につきましては、陳謝いたします。		
1122	私としたことが、気が付きませんで・・・／ご無礼いたしました。		
1123	お忙しところを恐れ入ります。		
1124	手短に申し上げます。	Let me sum up the situation for you	
1125	かいつまんで申しますと・・・	To make a long story short... (used in business)	
1126	手短に申し上げますって英語でなんて言うの？ A very brief summary is that ・・・・  If I try to be very brief, I'd say that ・・・  To be very brief, ・・・  報告内容（・・・とした部分）を、回答文のどれかのように始めてみたらどうでしょうか。なお、全ての回答文に共通して、状況によって、”very”を外しても構いません。		
1127	まず結論から申しますと・・・	First let me give you the upshot	
1128	二点ほどお伝えすることがございます。		
1129	いずれ、こちらからお電話します。	Either way, we'll give you a call.	
1130	夜分遅く恐れ入ります。		
1131	よんどころない事情で、明日伺えなくなりました。		
1132	できるだけのことはしたんですが	We did absolutely everything we could, but...	
1133	まさかそこが問題点でありまして	That's just where the problem lies	
1134	誠にお手数をおかけしますが、必要事項をご記入の上私までご返送をお願いします。		
1135	私共は、・・・さんのご都合に合わせます。		
1136	ご都合がよろしければ、○○月○○日、あるいは○○月○○日でいかがでしょうか？		
1137	及ばずながら、ご期待に添えますよう尽力いたします。		
1138	どうか事情をお察しください。	Please, try and understand our situation.	
1139	私の一存では答えかねますので、少々お時間をいただけますか？		
1140	少し様子を見てみましょう。	Let's just wait and see what happens	
1141	ちょっとペンディングにしておきましょう。	Let's leave the matter pending for a while.	
1142	事情の推移を今しばらく見守って・・・		
1143	差し出がましいようですが・・・	I know this might sound a little forward of me, but... (to signal disagreement)	
1144	確かにその通りだと存じます。ただ、こういう見方もあるのではないでしょうか。		
1145	この契約書をチェックするように頼まれた。	I've been asked to check over this contract	
1146	アポを取っといて	Set up an appointment	
1147	エクスキューズを考えといて	Think up an excuse	
1148	ご承知のように	As you know...	
1149	念のためお尋ねしますが・・・	Just to make sure I've got this right.	
1150	そんなところでしょうね。	Yeah, that's about it, I guess.	
1151	すべての列の抽出条件を解除して全データを表示するには、Worksheetオブジェクトの ShowAllDataメソッドを実行します。		選択を解除
1152	今週の水曜日午前10時以降でしたら空いています		
1153	どのようにあなたをお呼びしましょうか？	How should I address you?	
1154	どのようにスミスさんとお知り合いになったのですか？	How do you know Mr Smith?	
1155	駅まで送ってくださいますか？	Could you possibly drop me at the station?  	
1156	今になっても、結果を教えてやっても、まだそれをたどれないのかい？	Is it possible that even now, when I give you these results, you are unable to see how they are attained?"	
1157	今になって私は「時は金なり」という諺の真理を悟った	I now saw the truth of the proverb that time is money.	
1158	何時から？明日は8時まで仕事をしないと行けなくて。その時間にまだ誕生日会しているんだったら仕事の後に立ち寄るよ。	From what time? I have work till 8 but I can swing by after work if you guys are still there.	
1159	これ、どこから取ったんですか？	Cái này lấy đâu ra đấy?	表計算に適当に入っているデータがあるのに気づいて、それを入れた人に向かって言う言葉。
1160	ユーザが何に困っているのかを特定する	Xác định khó khăn của người dùng	
1161	オンラインとオフラインのタッチポイントを融合し、統合されたシームレスな顧客体験を実現するオムニチャネルは、こうしたソリューションを模索していた意思決定者の間で大きな話題となりました。		
1162	シームレスで一貫性のある顧客体験		
1163	それを実現するために具体的にどんな画面にするのが良いか決める		
1164	新規機能開発と既存コンテンツ		
1165	模写・自作		
1166	模写すると結構スキルも上がるんですけど・・	Làm bắt chước lại cũng giúp lên trình độ	
1167	クラウドソーシングで稼いでみるというのがあるんですけども結構稼ぐまで行かなくても就職はできると思います。		
1168	それらの出会いからインスピレーションを得てオリジナルな作品を作った。	These encounters inspired the creation of an original artwork.	
1169	私は友達との約束の日にちを間違えていました。	I misunderstood the day.	
1170	アクションプランを立てる	Lập action plan	
1171	管理職	Người chịu trách nhiệm quản lý	
1172	ポイントはアジャイルとはあくまで開発スタイルの総称であるということだと思います。文脈によって様々な解釈があり得ますが基本的にはこの理解でいいかと思います。		
1173	そしてアジャイルの全体像を示す図として下記が非常にわかりやすいと思います。		
1174	これでアジャイルとスクラムの関係性について整理できたのではないでしょうか。		
1175	前述の通りスクラムはアジャイルという考えが元になっており、アジャイル開発手法の一つになります。そしてこのスクラムという開発手法は下記ドキュメントが全てです。		
1176	私はそれがいつ終わるのか疑問に思う。	I doubt when that will end.	
1177	APIを統合	Ghép API	
1178	プロセス上の特徴として、短期間に活動を繰り返しながら段階的に開発を進めていくこと、その繰返しの中でユーザとのやりとりを密に行う点などが指摘できる。		
1179	システム開発を行なっている間にそのシステムが陳腐化してしまう。		Hệ thống trở nên lỗi thời
1180	アジャイルとスクラムってどう違うんだっけ？、と時折混乱することもあると思いますがこの図を覚えておけばその関係性を思い出せるでしょう。		confuse không biết agile với scrum khác nhau như thế nào
1181	「確認」のボタンなのに、色を赤にするとユーザが間違って解釈したり混乱されたりしてしまうよ。	Nút xác nhận mà lại để màu đỏ thì sẽ làm người dùng hiểu sai chức năng hoặc bị confuse	
1182	小1の子	Trẻ lớp 1	
1183	全国ハッカソンとかもやっていて、上位入賞者には商品もあるそうです。 ど素人でもできますか？		
1184	15時過ぎにいつもの場所で会いましょう	Sau 3 giờ chiều gặp nhau chỗ cũ nhé	
1185	「上記記載」はたしかに重複でくどく感じます。		ý trùng lặp, dài dòng
1186	仕事でノイローゼになりかけている人が今できる2つの対処法		sắp phát điên
1187	だいたいの意味がわかればよい	You have only to grasp the general meaning of the whole.	
1188	今週の金曜日の10:00に可能であればモノフルさんに来られませんでしょうか？ バックエンド系のディスカッションを渡部さんとするので、いてもらえると心強いです。		
1189	最後に休みを取ったのはいつですか？	When was the last time you took some time off?﻿	
1190	あなたにとって、どんなに辛いかは私にはどうでもいいわ、彼女にまた電話するよって言わないで！	I don’t care how hard it is for you, do not tell her that you will call her again!	
1191	ウィンドウの大きさは固定されていて、通常のウィンドウのように最大化や最小化はできない。		
1192	アプリケーションでは、独自にこれらの部品を作成することなく、システムが提供するこれらのコントロールを使用可能で、かつこれにより、同一の部品が使用されることによるGUIの一貫性が確立できる。		
1193	ログラマは、ウィジェットを組み合わせてGUIを構築する。		
1194	特に重要な情報への注意を喚起する。この用法は効果的ではないという批判もある[3] [4] [5]。		
1195	必要な入力がなされるまで、アプリケーションの実行をブロックする。		
1196	アプリケーションの設定オプションを1つのダイアログに集約する。		
1197	生徒の能力・道徳の評価	Đánh giá năng lực, phẩm chất học sinh	
1198			
1199	話が変わるけど・・・	Nothing to do with this / what we're talking about now, but .....	
1200	志望校は生徒からのアンケートで集計し、表示される。	Nguyện vọng đại học của học sinh được thu thập thông qua chức năng khảo sát trực tuyến	
1201	意味的にはタグ＝要素として捉えてください。		
1202	定期テスト（中間・期末テストのみ）の成績データをグラフ化して表示する。	Hiển thị dạng biểu đồ thành tích bài kiểm tra định kỳ ( giữa kỳ, cuối kỳ ) 	
1203	提出期限を過ぎても回答できる。		
1204	自分宛に送信されたメッセージの通知を受け取ることができる		
1205	メッセージをカテゴリ別に閲覧することができる		
1206	教師は毎朝早朝より生徒の保護者からの出欠連絡を断続的にスマホで受け取っている		Thi thoảng lại nhận một cái
1207	教師は連絡が来たら確認はするが、チャット画面の特性上、過去に受信した内容がどんどん流れていってしまうため、過去に行った会話の内容をさかのぼることが面倒である		
1208	スマホでの連絡以外にも、保護者の署名した用紙での届け出方法がある		Đơn có chữ ký phụ huynh
1209	学校や教師は生徒の出欠状態をしっかり管理できていない可能性がある		Không quản lí được chặt chẽ
1210	出欠連絡をサービス上でとりまとめられたら、先生はいちいちスマホで確認する手間が省ける、ラクになる		
1211	では、後者のようにいわれるとあまり印象がよくないように思いますが思い込みなんでしょうか？		
1212	担任のクラスと科目のクラスで（欠席・遅刻・早退）をする生徒が把握できる		
1213	望む望まないにもかかわらず	Whether you want it or not	
1214	その建物は、その駅を挟んで反対側にある。	That building is on the opposite side in between the station.	
1215	私達は週末を挟んで5日間の休暇取った。	We took 5 days holiday in between the weekend.	
1216	LabHokがこれまでに開発した仮説機能の一覧画面があり、機能ごとにOn/Offを切り替えることができる		Có thể ON/OFF với từng tính năng
1217	OnからOffに切り替え		
1218	LabHokのサービスを導入している学校が一覧できるリスト画面		
1219	冷めてるわよ。それ。	That coffee is cold.	Cà phê đấy nguội rồi
1220	ところで、あの男はどうする? 好きにさせておくさ。	Btw, what do we do about that man? Leave him to his own devices	
1221	マルドゥック機関と繋がる108の企業のうち、106がダミーだったよ。 ここが107個目、と言うわけか。		Nghĩa là cái này là cái thứ 107?
1222	逃げてばかりじゃだめよ。自分から一歩を踏み出さないと、何も変わらないわ。	You can't keep running away.‌ Unless you take that step forward, nothing will change.‌	Nếu không tự mình bước lên thì mãi cũng sẽ thế này thôi
1223	いい年して、戻すなよ。	You shouldn't be throwing up at your age.‌	
1224	今回作ったゲームは一例ですが、ドットインストールでは、他にも JavaScript でいろいろなアプリを作るレッスンを用意しているので、ぜひチャレンジしてみてください。		
1225	・・・を有効にする	to enable...	
1226	・・・ということの例が後を絶たないというのが今の現状なんですね。	Có vô số trường hợp/sự việc là ... đã xảy ra	
1227	といったような事例を耳にしたことがあります。	Đã nghe đến những sự việc...	
1228	何て言うのだろうとずっと疑問に思っていたのですが、解決してすっきりしました。		
1229	UIはウェブマーケティングを成功させる上で非常に重要な要素で、UIを改善するだけでも成果が2倍3倍に向上するケースも珍しくありません。		
1230	操作可能な有効期限		
1231	次回以降のスプリント用のfigma画面を作成しましたので、 また事前にご相談ご指摘いただければと思っています。		
1232	アラートメッセージからマスタ編集ページへのリンクするのも良いと思います。	Có thể làm kiểu link từ alert đến trang edit master	
1233	8月から、QAは３人体制でお願いしていますよ		
1234	その日はそれで収まった		
1235	君は全部のドアを施錠するか、せめて閉じるべきだった。 	You should have locked, or at least closed, all the doors.	
1236	彼はクラスの誰よりもずば抜けて背が高い。 	He towers above the rest of the class.	
1237	こうした風邪とインフルエンザの違いを知った上で、それぞれに合った適切な対処法をとることが大切です。		Cách giải quyết phù hợp với từng...
1238	熱を下げようと、解熱鎮痛薬を続けて飲むと、胃痛などを起こすことにもなりかねません。		liên tục uống
1239	東京で元彼女と偶然道で会った。すごい確率でしょ。	I just ran into my ex-girlfriend in Tokyo. What are the odds?	Tình cờ vkl!
1240	てっきり今日は水曜日だとばかり思っていました		Cứ tưởng là...
1241	恥ずかしい思いをさせてごめんね…		
1242	聞くところによると、もうかなりの金融機関にご協力いただいております。	I hear that a very large number of financial institutions have met our request.	
1243	いくら内容が面白いからといってもこの両書を古史古伝というのは無理がある。	It is unreasonable to consider these two books are koshi koden even if the content is interesting.	
1244	オリンピックは３年おきに開催される		
1245	そんなのは読書のうちに入らない。	That doesn't really count as reading.	
1246	あの花は枯（か）れかけている →まだ完全（かんぜん）に枯れていないが、枯れ始めている		
1247	どこが痛たみますか。 	Where is the pain?	
1248	昨夜YouTubeを見ていたらたまたま○○についての動画を見かけたよ！面白いとおもったからみんなに共有するね。		
1249	新年抱負を決める／立てる	to make a new year's resolution	
1250	傷つけまいと自分をずっと守ってきたと思ってきたものですから、脱いでしまうのはそれはそれは怖いです。		
1251	送信するSMSが10,000通/日を超える場合は、事前にご相談下さい。		
1252	妊娠中の妻のために夫ができる当たり前で大切な6つのこと		
1253	どうして息をするの，どうして空気（さん素）がないと人間は死ぬの		
1254	人生と言う旅路は平穏という事は有りません。何事にも正面から立ち向かう気構えが有りますか		
1255	ユーザ名を記憶する	Remember this user	
1256	不満に思いながらも、住む家も食べるものも着るものもあるし、身の安全は確保できていますよね。		Mặc dù là cảm thấy bất mãn
1257	自分の調子が狂っても、  「そりゃ自分を変えようとしたら、最初は調子が狂うのが当然じゃね？」  程度に軽く考えてみてほしいなーと思います。		Suy nghĩ nhẹ nhàng
1258	引き寄せで瞑想がすすめられることがありますが、これは瞑想に高いリラックス効果があるためです。		
1259	瞑想にはメンタルに良い効果があることが科学的にも実証され、若い層でも、生活に取り入れる人が増えてきました。		
1260	「瞑想」は、足を組むなどして座り、目を閉じて心を落ち着けるなどの行為全般を指すことばとして使われています。		
1261	瞑想的な行為は、古来さまざまな宗教の中に見られますが、中でも特筆すべきなのは、やはり仏教における瞑想です。		
1262	2段階認証		
1263	「気になっている女子がいます。ご飯に誘うと『今度行こうね！』と返事が返ってきます。毎回『今度ね』です。今度っていつやねん」		
1264	なぜ忙しいのか、聞けばいいのに……と思いますが、相手のことを好きすぎると、余計な遠慮がはたらいて聞くに聞けなくて悶々としちゃうと……ま、ひとり相撲みたいなものですよね。		Muốn hỏi nhưng không hỏi được
1265	歳を重ねてゆくと、女子の思わせぶりな態度をさらっと受け流す術を体得する男子が増えます。		
1266	それとこれとは別問題だ。ここで一緒くたに論じてはいけない。 	Those are two different issues. Lumping them together here makes no sense.	
1267	アフリカはかつて、暗黒の大陸と呼ばれた。 	Africa was once called the Dark Continent.	
1268	Windows Virtual DesktopはWindowsとAndroid、macOS、iOSの他、HTML5に対応したWebブラウザでも利用できる。		
1269	「Windows 7」の延長サポートプログラム「Windows 7 Extended Security Update（ESU）」		
1270	Microsoftは、生産性向上の支援を目的としてこれまで、仮想環境におけるOfficeエクスペリエンスに投資を行い、Officeと関連技術の改良を進めている。		Thực hiện cải tiến office và các công nghệ liên quan
1271	2019年9月30日時点で全てのFSLogixツールがWindows Virtual Desktopに完全に統合されており、ユーザーはスムーズで高パフォーマンスのOffice仮想化エクスペリエンスを享受できる。	Đến thời điểm ngày 30/9/2019, tất cả các công cụ FSLogix đã được tích hợp vào Windows Virtual Desktop và người dùng có thể tận hưởng một trải nghiệm Office ảo mượt mà với hiệu năng cao.	
1272	雲の上のWindows 10、夢のDaaSはハードルが高い	Thách thức lớn cho giấc mơ Daas - Windows 10 trên mây	
1273	研究の初年度に、彼は自分がＡＬＳにかかっていることを知った。 	During the first year of his research, he learned he had ALS.	Biết được rằng
1274	その聖職者は人前では真面目なふりをする。 	The priest pretends to be solemn in public.	
1275	生半可な知識を持って説明するくらいなら、最初から説明しないほうがましだ。	Nếu mà đi giải thích với cái thứ kiến thức nửa vời thì tốt hơn là đừng có đi giải thích	
1276	甘い物は多くても週に一回までとする	Đồ ngọt tối đa tuần ăn một lần	
1277	最強の呪文「一生のお願い」（何度でも使用可能）		
1278	私の女友達は今頃もうここに来ているはずだ。 	My girl friend ought to be here by this time.	
1279	誰もがこういうヤツらを駆除したいと思うだろう。しかし、正真正銘の鬼というだけあって、勢いが乗ってて強い。なかなか駆除できない。		
1280	通常は数週間かかる審議を１週間に縮めようとする政権の強引さに反発が広がり、採決結果は賛成３０８、反対３２２で否決された。		
1281	同様のクラウドサービスである 「IaaS」 や 「PaaS」 と同じく、コスト削減、管理負荷の低減などのメリットに加え、「デスクトップ仮想化」 や 「シンクライアント」 のように情報漏えいなどのセキュリティ上のメリットも期待できる。		
1282	さらに、「デスクトップ仮想化」 「シンクライアント」 と比較して、専用機器、サーバなどを用意する必要がないため、初期導入時の費用を抑えられるだけではなく、導入決定から利用開始までのリードタイムも圧倒的に短縮することが可能となる。		
1283	どうにかこの寂しさを改善したい。		
1284	お経のように聖書の言葉を唱えないと寝られなかった。		
1285	ここは急ぎではないので、明日会社で話しましょう。	Việc này không gấp nên mai nói chuyện ở công ty nhé	
1286	初の著書『学年ビリのギャルが1年で偏差値を40上げて慶應大学に現役合格した話』は大学を受験する高校生の話ですが、学生と先生の関係を企業の上司と部下に置き換えても十分に成立しますね。		still holds true
1287	いきなり叱りつけたり、説教をしたりすれば苦手意識を持たれて、それで終わりです。		Làm đối phương tự ti
1288	それ以上、粗を探されないようにするためです。突然ボールが飛んできた時に思わず体を丸めて守るのと同じことです。		
1289	会社は教育機関ではありません。教わっていないからできないのでは無く 首を垂れて教えを請うべきでは無いでしょうか。		
1290	せめて自分は(部下はいないが)、そうなれるようにしたいものだ。 		動ます形に接続して、そもそも実現不可能あるいは実現困難なことに対する強い願望や期待を表します。 また、その願望は以前から長い時間抱いている場合が多いです。
1291	勤務時間中にぼけっと座って何もしない人、掃除しろと言っても動かない人、失敗を失敗と気づかず、向上心のない人を育てるのは無理ですよ。		
1292	全ての心が一つとなり、永遠の安らぎを得る。		
1293	この電子部品は、時間の制約上、公式なテストには導入されていません。	The electronic components are not on an official test due to time constraints 	
1294	スキーマ変更の作業はRailsのマイグレーション機能を利用せず、SQLを直接利用して行っています。これは、サービスの大規模化に伴い、マイグレーション機能だけでは要件を担保できなくなったためです。手順は以下のようになっています。		Đảm bảo yêu cầu
1295	一通り確認	Kiểm tra qua một lượt	
1296	IQONのデータベースが抱えていた問題として以下が挙げられます。		
1297	本番DBと開発DBのVARIABLESに差異がある	Có sự khác biệt về tham số giữa DB prod và DB dev	
1298	本番DBと開発DBで多くの差異が発覚しました。		
1299	VARIABLESを合わせることによりMySQLの全体的な状態を本番DBと新開発DBで同一にします。		
1300	こちらも数が少なかったので、手動で行いました。		
1301	今後も技術的負債を精算し、より安定しスピード感あるアプリケーション開発めざしていきます。		Giải quyết món nợ
1302	会社にはいたのですが、別件対応でデイリーも出られずにごめんなさいね。		Có công chuyện khác phải xử lý
1303	困ったユーザーがどうするかというと、そのまま離脱して、もっと使いやすいサイトやサービスを探す……という可能性につながるわけですから。		
1304	Webや検索はすっかり日用品になりましたが、日々触れる個々のサイトやサービスには、まだまだ使いにくい部分が残っています。		
1305	使いやすいサイトを作るため、使いにくさを解消するため、基本を押さえておきましょう。		
1306	この「モノが発信するメッセージ（判断の手がかり）」のことを、アフォーダンスとか、シグニファイアなどと呼びます。		
1307	ちなみに、モノは作り手の意図するしないに関わらず「こう使えます」というメッセージを発信しています。時には不適切なメッセージを発信し、ユーザーの行動が意図せぬものになってしまうので注意が必要です。		
1308	私は遠距離をしてた彼氏を喧嘩して強がって思ってもない別れたいを言って振って後悔しています。		dumped my boyfriend
1309	言わなきゃ伝わらないですよ、まずは行動を起こしてください		
1310	ソフトウェア品質の測定には様々な観点がある。しかし、万人が納得する測定の観点は珍しい。人によってはソフトウェア品質の定量的測定が必須であるとされるが、他の人は定量的測定が有効な場面は限られると考えており、そのため定性的測定を好む。		
1311	彼はすべて私が悪かったような言い方をした。そこで、私も黙っていられなくなって、言い返した。	He talked as if it were all my fault. Therefore, I couldn't hold my tongue and I talked back.	
1312	彼は頭はそれほどよくないが、そこを努力で何とかやっている。	He is not that bright, but he manages to get along on his efforts.	
1313	実施できるか(どうか)は別として、まず可能な解決策をすべてリストアップしてみよう。	Putting aside the question of whether or not each one is feasible for us to carry out, let's list all possible solutions ﬁrst.	Đặt sang một bên câu chuyện là có thể thực hiện được hay không,...
1314	やってなければGoogle Calendarの会議室予約を削除しておきますー		Hủy book phòng họp
1315	Comute Engineがずっと起動したままになっています。あれは、ビルドする時だけ起動して欲しいのですが、その調整はできましたか？		
1316	質の良くないコードを使い続けることは、借金の利息としてとらえることができる。	Việc cứ dùng mãi code chất lượng kém có thể ví như việc đi vay phải chịu lãi	
1317	技術部門	Lĩnh vực kỹ thuật	
1318	キャッシュをする		
1319	更新や追加をリッスンする		
1320	2で全てを取得せずに、更新時間、追加時間で絞り込みをして、差分だけを取り込む		
1321	という流れで出来そうでしょうか？		
1322	今日は1時間ほど早い14:00からですが、よろしくお願いいたします！		
1323	対応方法はほぼ先程書いたとおりなので、今日話しまょう。		
1324	自分で言うのもあれなんだけど、私以上にうまくできる人は考えられない	Don't mean to brag but I cannot imagine anyone better than I am.	Không có ý khoe khoang nhưng mà...
1325	人に認められると、自尊心をくすぐられ、承認欲求を満たせます。		
1326	やる気やモチベーションも湧いて、心に活力が生まれるでしょう。		
1327	特に自分に自信がない人ほど、人に認められたい気持ちも強くなるはずです。	Càng những người không có tự tin lại càng muốn được người khác công nhận	
1328	常に人からどう見られているのか気にしなければいけません。		
1329	いつも相手の顔色をうかがって行動しなければいけません。		
1330	自分の本音を隠しながら、相手に迎合しなければいけません。		
1331	精神的にも肉体的にも疲れやすくなります。	Gây ra mệt mỏi cả về thể xác lẫn tinh thần	
1332	人に認められるような行動を繰り返していると、八方美人になって、自分を見失います。		
1333	過度の承認欲求は、人生の歯車を狂わせる原因になります。		
1334	自分らしさを貫きましょう		
1335	モバイルに限らず、フロントエンドやバックエンドでもチーム内であいまいになっている課題を特定する目的です。		
1336	インターネットの発展や企業内のネットワークの広がりと共に、オンラインでの教育（eラーニング）が身近になってきました。		Đã trở nên quen thuộc
1337	しかしeラーニングの実施では、ひとつの問題点があります。	Tuy nhiên, có một vấn đề khi sử dụng e-learning	
1338	配布側はまちがいなく教材を届けさえすれば、それ以上管理すべきことはありません。	Người phát tài liệu chỉ cần đảm bảo chắc chắn việc tài liệu được gửi đi mà không cần phải quản lý gì hơn	
1339	（・・・）など、インターネットという公開された場ゆえの問題点が出てきます。	原因や理由を表す。…のため。…によって。…がもとで。「幼さ故の過ち」「今日は急ぐ故これで失礼する」	
1340	上記の問題点を解決するために考案されたのが、LMS（Learning Management System：学習管理システム）です。		
1341	LMSでは、さらに学習者の成績・進捗管理という、eラーニングならではの機能が搭載されています。  受講者はどれくらいのペースで学習を進めているのか テストでどれくらいの得点を獲得しているのか どんな分野が強いのか・弱いのか		
1342	このような個人指導の指針となるデータも、取得・管理できるようになります。		
1343	インターネットの回線速度の向上により、ビデオ配信やリアルタイムのビデオ会議（Web会議、ビデオチャット）の活用も広まってきました。		Sự cải thiện của tốc độ internet
1344	学習者の進捗状況の管理は、『学習者がどの教材を完了したか』『テストは何点獲得し、合格したか否か』などを、管理者が一元的に把握できる機能です。		
1345	警察は今回の火災との関連を調べるとともに、現場の検証を続けるなどして詳しい出火原因などの特定を急ぐことにしています。		Khẩn trương trong công tác xác định
1346	火災発生の直後、警備員が正殿の裏手にある１階の北寄りの窓から煙が激しく出ているのを目撃していたことなどから、警察は正殿１階の北側が火元とほぼ断定しています。		
1347	電車、乗り過ごしたー。 真冬だったら一番凹むパターン。		
1348	おつかれす。一駅だろうか 僕は最悪中央林間にいたりする		
1349	「まあまあ」は泰平さんと岡ちゃんからうつった		Bị nhiễm thói từ ...
1350	とかく現代の人間は、望むと望まざるとにかかわらず、型にはまった常識的なところにとどまり、ひとりひとりの個性が乏しく、だれもが同じようなことを考え、同じような権利主張に立ち、同じように豊かな家庭を夢み、同じように手ぎれいな職業を待望している。   まことに平和なことではあるが、若い世代にしては、スケールの小さくなっているのが問題である。 知識欲の旺盛な行動力をもったタイプを期待できなくなっている。 これは時代のおのずからなる風潮がもたらしたものであると思うが、いったいどういうことになるのであろうか。		
1351	すげーってほどでもないが普通に降ってる		
1352	タクソノミーの値の受け渡しをどうすればリアルタイムで絞り込みができるか といったところでつまずいています		
1353	東京在住の音楽家、haruka nakamuraが2枚組の新作『音楽のある風景』を完成させた。		
1354	御運がつきて弁慶の杖にもあたられたこと、まことに情けない思いです。	It's shameful that you were out of luck and even hit by my cane. 	
1355	間違いがあってはいけない		
1356	無断配布・使用が発覚した場合には然るべき処置を取らさせて頂きます。		
1357	Junkoさんからありましたが、①ではおそらくしばらくすると、飽きてくるわけです。　←　今このフェーズ		
1358	まだ不確定要素も多く、もう一度叩きを入れていただきたく思っています。		
1359	今日か明日の打ち合わせの際にでも少し話ができればと思います(bow)		
1360	中村さんと一緒にいた運転手や警備員合わせて５人も撃たれて死亡しました。		
1361	中村さんの遺体は首都カブールにある軍の病院に移され、遺族や関係者の到着後、日本に向けて搬送されるとみられます。		
1362	気になるところを先に大沼さんに伝えておけば大丈夫かなと。		
1363	東京の内科医、葉田甲太さん（35）は、医学部の学生だった時に中村さんの著書を読んで以来、中村さんを目標にしてきたといいます。		
1364	リクエストがバリデーションを通過できなかった後に、セッションにエラーメッセージをフラッシュデータとして保存するために withErrors メソッドを使ってください。		Validate thành công
1365	診察室を飛び出して、白衣を脱いで重機に乗って作業をするなど、普通の医者だったらやらないことも、『現地の人に必要だからやる』という姿勢が新しく、学ばせてもらった」と話していました。		
1366	中村先生の影響を受けて国際貢献を始めた人はたくさんいると思うので、みんなで分担して、その思いを下の世代に伝えていきたい」と話していました。		Thế hệ sau, lớp trẻ
1367	一見、「ご承知おきください」は「ご」と「ください」がついているので、いかにも丁寧な敬語という感じがしますね。		Nhìn qua thì
1368	また、他方で、大学には、時代の変化や社会の要請に適切に対応した教育研究活動を行うことが求められるようにもなっています。	Mặt khác, các trường đại học cũng cần phải có các hoạt động nghiên cứu giảng dạy phù hợp với những thay đổi của thời đại mới và nhu cầu của xã hội.	
1369	ここでは、大学の教育内容・方法等の改善に向けた取組の実施状況をQ＆A形式で掲載しています。(それぞれの内容は、以下のリンク先を御覧ください。)		Hình thức 
1370	- 生年月日と性別が同じ値なら同一人物と見なしてインポートする → 1人で異なる複数の科目を担当している		
1371	１９９３年から乗客を運んできた２代目ゴンドラが老朽化したことや、来年７月に開業５０周年を迎えることから一新することを企画。		
1372	公社の若手職員ら１１人によるチームがコンセプトを考え、赤とシルバーの２台を選んだ。		
1373	引退記念として、同６日から１３日まで、大人１人につき子ども４人まで無料で乗車できる。（滝坪潤一）		
1374	国土交通省福岡空港事務所によりますと、福岡発、羽田行きの全日空246便、ボーイング767型機が、右側のエンジンでトラブルが起きたとして、さきほど午前10時15分、福岡空港に緊急着陸しました。		
1375	カレンダーに予定を飛ばしましたので、出られる人は出席にしておいてください。		
1376	コラムの順序が狂う	Thứ tự cột bị đảo không đúng thứ tự	
1377	意味を覚えていたとしても、ふとした時に意味の境界線が曖昧になることもしばしばあるのではないでしょうか。		
1378	Webtestと合わせ、テキスト入力をさせない	Không cho nhập text, giống phần Web test	
1379	既存の仕様のまま	Như spec hiện tại	
